_id,colCode,colName,branCode,branName
6457ad9abd452186e59e352b,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",SCHE1,B.Sc. Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e352c,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",SCHT1,B.Sc. Chemistry (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e34c9,1051001,"Government Arts College (Autonomous), Kumbakonam- 612002",SZOT1,B.Sc. Zoology (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3532,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",SGEE1,B.Sc. Geography (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3538,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",LENE1,B.A. English ( 1ST SHIFT )
6457ad9abd452186e59e352e,1052005,"Kunthavai Naacchiyaar Government Arts College for Women(Autonomous), Thanjavur - 613007",CCOE2,B.Com. (Commerce) (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e3543,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",SBCE1,B.Sc. Bio-Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3544,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",SBCT1,B.Sc. Bio-Chemistry (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e353a,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",AECT1,B.A. Economics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3546,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",SZOT1,B.Sc. Zoology (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e354d,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",SMAE2,B.Sc. Mathematics (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e354a,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",LENE2,B.A. English ( 2ND SHIFT )
6457ad9abd452186e59e354f,1052006,"Dharmapuram Gnanambigai Government Arts College for Women, Mayiladuthurai - 609001",SCSE2,B.Sc. Computer Science (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e3555,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",AECT1,B.A. Economics (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e355e,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SCSE1,B.Sc. Computer Science (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3559,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",CCOT1,B.Com. (Commerce) (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3564,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SBOE1,B.Sc. Botany (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e355f,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SCST1,B.Sc. Computer Science (T/M) ( 1ST SHIFT )
6457ad9abd452186e59e3551,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",LENE1,B.A. English ( 1ST SHIFT )
6457ad9abd452186e59e356a,1051008,"Manni Raja Gopala Swamy Government Arts College, Mannargudi - 614001",LENE1,B.A. English ( 1ST SHIFT )
6457ad9abd452186e59e3569,1051007,"Thiru. Vi-Ka Government Arts College, Thiruvarur - 610003",SCSE2,B.Sc. Computer Science (E/M) ( 2ND SHIFT )
6457ad9abd452186e59e357c,1051009,"Government Arts and Science College, Peravurani - 614804",SPHE1,B.Sc. Physics (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e357d,1051009,"Government Arts and Science College, Peravurani - 614804",SCHE1,B.Sc. Chemistry (E/M) ( 1ST SHIFT )
6457ad9abd452186e59e3581,1051008,"Manni Raja Gopala Swamy Government Arts College, Mannargudi - 614001",CCOE2,B.Com. (Commerce) (E/M) ( 2ND SHIFT )
